# Name : Surface component 1
# Stage: 45.000 s
# Units: length:mm angle:deg strain:% 
id,x,y,z,major_strain
396,2.8517,39.2241,0.0000,-0.0188
397,3.3956,39.2233,0.0000,0.3821
398,3.9402,39.2248,0.0000,1.1803
399,4.4822,39.2198,0.0000,1.1735
400,5.0248,39.2142,0.0000,0.7946
401,5.5682,39.2115,0.0000,1.0791
402,6.1099,39.2088,0.0000,1.2241
403,6.6505,39.2070,0.0000,1.8034
404,7.1931,39.2003,0.0000,1.1923
405,7.7347,39.1967,0.0000,1.1062
406,8.2824,39.1952,0.0000,1.3912
407,8.8235,39.1898,0.0000,1.2023
408,9.3684,39.1867,0.0000,1.7262
409,9.9113,39.1824,0.0000,1.4987
410,4.2301,5.4346,0.0000,4.8804
411,3.8637,5.0999,0.0000,8.4268
412,3.5424,4.5325,0.0000,24.1608
413,3.3911,3.9951,0.0000,21.8680
414,3.4080,3.3257,0.0000,18.8032
415,3.5241,2.7919,0.0000,6.1448
416,3.8615,2.3100,0.0000,6.9435
417,4.2820,1.9828,0.0000,1.0263
418,4.7889,1.8395,0.0000,0.5554
419,5.3078,1.8788,0.0000,2.2561
420,5.7903,2.0559,0.0000,1.3475
422,6.2499,3.1296,0.0000,14.8336
423,6.4231,3.6348,0.0000,6.4347
424,6.3701,4.1815,0.0000,3.8075
425,6.1359,4.6962,0.0000,10.6644
426,5.7103,5.1523,0.0000,13.3066
427,5.2246,5.4823,0.0000,5.9761
428,4.7040,5.5445,0.0000,-0.1020
429,-4.7345,4.4354,0.0000,-0.9146
430,-5.2440,4.2830,0.0000,3.0128
431,-5.7104,4.0350,0.0000,8.1574
432,-6.0143,3.7319,0.0000,8.1188
436,-6.6406,0.4974,0.0000,28.9939
437,-6.7584,0.1808,0.0000,14.1349
441,-5.5193,-1.7576,0.0000,-0.2706
442,-5.0801,-2.0489,0.0000,-0.7215
443,-4.5834,-2.2487,0.0000,0.2488
444,-4.0517,-2.3553,0.0000,1.7387
445,-3.5034,-2.3693,0.0000,-0.0697
446,-2.9781,-2.2969,0.0000,0.2340
447,-2.5348,-2.1394,0.0000,0.3009
452,-1.2475,0.5834,0.0000,2.1288
453,-1.2201,1.1188,0.0000,-0.1551
454,-1.2713,1.6418,0.0000,4.3667
455,-1.5265,2.2868,0.0000,34.9463
456,-1.8780,2.8749,0.0000,39.0164
457,-2.2519,3.6022,0.0000,32.9226
458,-2.6713,3.9759,0.0000,9.1956
459,-3.1289,4.2734,0.0000,-0.1246
460,-3.6521,4.4168,0.0000,-0.0083
461,-4.1951,4.4698,0.0000,-0.0245
462,-20.7181,38.8778,0.0000,1.2143
463,-20.2089,38.8425,0.0000,1.0647
464,-19.6805,38.8398,0.0000,0.9213
465,-19.1430,38.8411,0.0000,0.9524
466,-18.6014,38.8409,0.0000,1.1307
467,-18.0617,38.8432,0.0000,1.0740
468,-17.5208,38.8427,0.0000,0.9564
469,-16.9799,38.8443,0.0000,0.8959
470,-16.4372,38.8469,0.0000,0.7977
471,-15.8940,38.8499,0.0000,0.7287
472,-15.3496,38.8498,0.0000,0.8201
473,-14.8069,38.8517,0.0000,0.9776
474,-14.2641,38.8560,0.0000,1.0365
475,-13.7215,38.8578,0.0000,1.1393
476,-13.1796,38.8585,0.0000,1.2214
477,-12.6365,38.8598,0.0000,1.0699
478,-12.0938,38.8643,0.0000,0.8080
479,-11.5526,38.8667,0.0000,0.7950
480,-11.0117,38.8705,0.0000,1.2826
481,-10.4684,38.8756,0.0000,1.5299
482,-9.9333,38.8819,0.0000,2.3009
483,-9.3892,38.8899,0.0000,4.5656
484,-8.8331,38.8641,0.0000,1.5249
486,-7.8201,39.0716,0.0000,-0.0660
487,-7.3021,39.0384,0.0000,-0.2009
488,-6.7626,39.0210,0.0000,1.0862
489,-6.2225,39.0196,0.0000,0.6137
490,-5.6803,39.0183,0.0000,0.4252
491,-5.1410,39.0192,0.0000,0.0147
492,-4.6003,39.0156,0.0000,-0.1044
493,-4.0579,39.0128,0.0000,0.8780
494,-3.5096,38.9949,0.0000,4.0883
495,-2.9457,38.9554,0.0000,7.1947
496,-2.3888,38.8917,0.0000,5.7369
497,-1.8323,38.8666,0.0000,1.3472
498,-1.2874,38.8626,0.0000,1.0197
499,-0.7447,38.8623,0.0000,1.2098
500,-0.2019,38.8605,0.0000,1.5199
501,0.3396,38.8563,0.0000,1.0664
502,0.8817,38.8532,0.0000,0.5399
503,1.4222,38.8495,0.0000,0.6472
504,1.9634,38.8455,0.0000,0.6245
505,2.5050,38.8435,0.0000,0.2602
